sale_id,date,salesperson,make,model,year,price
10001,2026-01-01,Eve,Mazda,Demio,2013,6350.00
10002,2026-01-01,Chloe,Nissan,Navara,2017,36800.00
10003,2026-01-01,Aroha,Toyota,Hilux,2020,42450.00
10004,2026-01-01,Mere,Mitsubishi,Outlander,2014,20950.00
10005,2026-01-01,Ioane,Suzuki,Swift,2023,17200.00
10006,2026-01-01,Mere,Mazda,CX-5,2019,35350.00
10007,2026-01-01,Kiri,Tesla,Model 3,2013,36650.00
10008,2026-01-01,Ioane,Nissan,Tiida,2020,7700.00
10009,2026-01-01,Ioane,Toyota,Hilux,2017,33450.00
10010,2026-01-01,Mere,Tesla,Model 3,2020,51150.00
10011,2026-01-01,Olivia,Honda,CR-V,2016,26650.00
10012,2026-01-01,Mere,Nissan,Tiida,2013,5850.00
10013,2026-01-01,Jess,Tesla,Model 3,2023,55350.00
10014,2026-01-01,Liam,Subaru,Forester,2025,36200.00
10015,2026-01-01,Aroha,Ford,Ranger,2019,50000.00
10016,2026-01-01,Mere,Hyundai,Tucson,2020,33800.00
10017,2026-01-01,Finn,Toyota,RAV4,2015,26400.00
10018,2026-01-01,Kiri,Toyota,RAV4,2014,23300.00
10019,2026-01-01,Aroha,Suzuki,Swift,2023,14550.00
10020,2026-01-01,Mere,Mazda,Axela,2017,14200.00
10021,2026-01-01,Dan,Suzuki,Swift,2012,7900.00
10022,2026-01-02,Jess,Nissan,Tiida,2012,5850.00
10023,2026-01-02,Nikau,Toyota,Corolla,2020,22850.00
10024,2026-01-02,Ioane,Ford,Ranger,2012,31100.00
10025,2026-01-02,Dan,Toyota,Aqua,2012,7850.00
10026,2026-01-02,Nikau,Honda,CR-V,2024,36850.00
10027,2026-01-02,Nikau,Mazda,BT-50,2022,43050.00
10028,2026-01-02,Nikau,Nissan,Leaf,2022,21550.00
10029,2026-01-02,Mere,Holden,Commodore,2017,21250.00
10030,2026-01-02,Olivia,Honda,Fit,2013,8350.00
10031,2026-01-02,Liam,Toyota,Yaris,2016,11250.00
10032,2026-01-02,Olivia,Subaru,Outback,2021,39100.00
10033,2026-01-02,Jess,Ford,Focus,2016,10300.00
10034,2026-01-02,Liam,Toyota,Yaris,2023,20250.00
10035,2026-01-02,Nikau,Suzuki,Swift,2013,10600.00
10036,2026-01-02,Olivia,Mazda,CX-5,2015,21550.00
10037,2026-01-02,Chloe,Mazda,Demio,2023,11000.00
10038,2026-01-02,Aroha,Toyota,Corolla,2016,15900.00
10039,2026-01-02,Dan,Mazda,Axela,2018,12400.00
10040,2026-01-02,Olivia,Mitsubishi,Triton,2021,39650.00
10041,2026-01-02,Dan,Mazda,BT-50,2023,40550.00
10042,2026-01-02,Finn,Mazda,BT-50,2012,26450.00
10043,2026-01-02,Mere,Ford,Focus,2024,14650.00
10044,2026-01-03,Ben,Mazda,Axela,2020,14550.00
10045,2026-01-03,Ioane,Tesla,Model 3,2025,56050.00
10046,2026-01-03,Liam,Honda,CR-V,2013,21700.00
10047,2026-01-03,Liam,Toyota,Yaris,2025,18650.00
10048,2026-01-03,Jess,Honda,Civic,2013,12700.00
10049,2026-01-03,Ioane,Tesla,Model 3,2021,50250.00
10050,2026-01-03,Ben,Nissan,Navara,2024,42000.00
10051,2026-01-03,Ioane,Ford,Focus,2024,16100.00
10052,2026-01-03,Ioane,Ford,Ranger,2017,37450.00
10053,2026-01-03,Kiri,Tesla,Model 3,2021,52950.00
10054,2026-01-03,Jess,Mazda,BT-50,2024,55850.00
10055,2026-01-03,Finn,Honda,Civic,2021,18300.00
10056,2026-01-03,Mere,Volkswagen,Golf,2014,13150.00
